,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
1,Q42,Douglas Adams,writer,Male,United Kingdom,Artist,1952,2001.0,natural causes,49.0,40-49
10,Q303,Elvis Presley,singer,Male,United States of America,Artist,1935,1977.0,natural causes,42.0,40-49
69,Q862,Joseph Brodsky,poet,Male,United States of America; Soviet Union,Artist,1940,1996.0,natural causes,56.0,
102,Q1203,John Lennon,singer,Male,United Kingdom,Artist,1940,1980.0,homicide,40.0,30-39
160,Q1514,Janis Joplin,singer,Female,United States of America,Artist,1943,1970.0,accident,27.0,18-29
225,Q2643,George Harrison,musician,Male,United Kingdom,Artist,1943,2001.0,natural causes,58.0,50-59
1179,Q15897,Amy Winehouse,singer,Female,United Kingdom,Artist,1983,2011.0,accident,28.0,18-29
1516,Q23945,Ana Cristina Cesar,poet,Female,Brazil,Artist,1952,1983.0,suicide,31.0,30-39
2093,Q32923,Rituparno Ghosh,film,Male,India,Artist,1963,2013.0,natural causes,50.0,40-49
2101,Q33042,Svein Finnerud,artist,Male,Norway,Artist,1945,2000.0,,55.0,50-59
2439,Q40299,Nelsan Ellis,film,Male,United States of America,Artist,1977,2017.0,natural causes,40.0,30-39
2460,Q40572,Heath Ledger,actor,Male,Australia,Artist,1979,2008.0,,29.0,18-29
2720,Q43897,Karl Obermayr,actor,Male,Germany,Artist,1931,1985.0,,54.0,50-59
2759,Q44126,István Sándorfi,artist,Male,France,Artist,1948,2007.0,,59.0,50-59
2780,Q44301,Jim Morrison,singer,Male,United States of America,Artist,1943,1971.0,natural causes,28.0,18-29
2781,Q44315,Hide,musician,Male,Japan,Artist,1964,1998.0,suicide,34.0,30-39
2799,Q44398,Falco,musician,Male,Austria,Artist,1957,1998.0,accident,41.0,40-49
2804,Q44426,Rainer Werner Fassbinder,film,Male,West Germany,Artist,1945,1982.0,natural causes,37.0,
2929,Q45174,Parveen Shakir,writer,Female,Pakistan,Artist,1952,1994.0,,42.0,
2962,Q45336,Konrad Bayer,writer,Male,Austria,Artist,1932,1964.0,suicide,32.0,30-39
3010,Q45572,Joseph Hannesschläger,actor,Male,Germany,Artist,1962,2020.0,,58.0,50-59
3036,Q45796,Silvana Gallardo,actress,Female,United States of America,Artist,1953,2012.0,natural causes,59.0,50-59
3081,Q46392,Amjad Khan,actor,Male,India; British Raj,Artist,1940,1992.0,,52.0,50-59
3126,Q46923,Gar Samuelson,musician,Male,United States of America,Artist,1958,1999.0,,41.0,40-49
3284,Q49027,Vittorio Mezzogiorno,actor,Male,Italy; Kingdom of Italy,Artist,1941,1994.0,natural causes,53.0,50-59
